receipt_id,date,supplier,invoice_number,amount_aud,tax_aud,category,project,status,file_found,local_file,image
20354581630,2026-04-23,MALENY LANDSCAPING SUPPLIES,,890.1,80.92,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/MALENY LANDSCAPING SUPPLIES - 2026-04-23 - 20354581630.pdf,https://rbnk.me/i/vqEgFZ5Xoo4
20354581620,2026-04-23,Railway Corporation,PADMUZCI-0011,7,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Railway Corporation - 2026-04-23 - PADMUZCI-0011.pdf,https://rbnk.me/i/uB9pXNQPrI4
20341896520,2026-04-24,Bunnings Warehouse,001-75845-8176-2026-04-24,2223.94,202.18,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-04-24 - 001-75845-8176-2026-04-24.jpg,https://rbnk.me/i/XpuMaxXN5RE
20341892770,2026-04-24,Maleny Bakery,00#00297088,185.34,0,421 - Light meals &  refreshments,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Bakery - 2026-04-24 - 00#00297088.jpg,https://rbnk.me/i/mOw4pID31_8
20341875630,2026-04-24,Liberty Maleny,782366-6,5,0.45,449 - MV - Fuel & Oil,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Liberty Maleny - 2026-04-24 - 782366-6.jpg,https://rbnk.me/i/dkbqwgcHObU
20341875610,2026-04-24,Maleny Hotel,967677,51.51,4.68,430 - Gifts,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hotel - 2026-04-24 - 967677.jpg,https://rbnk.me/i/fYsxc3xIwRE
20326007450,2026-04-21,Supabase,WSHNYD-00021,95.83,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Supabase - 2026-04-21 - WSHNYD-00021 (2).pdf,https://rbnk.me/i/RMujvoxo57g
20326007420,2026-04-21,Supabase,WSHNYD-00021,105.19,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Supabase - 2026-04-21 - WSHNYD-00021 (2).pdf,https://rbnk.me/i/5ckZIa30RdQ
20325999080,2026-04-22,MALENY LANDSCAPING SUPPLIES,124734,890.1,80.92,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/MALENY LANDSCAPING SUPPLIES - 2026-04-22 - 124734.pdf,https://rbnk.me/i/D7d8qjGrLnE
20315796290,2026-04-22,Woolworths,397,56.64,2.1,493 - Travel - National,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Woolworths - 2026-04-22 - 397.pdf,https://rbnk.me/i/Isw58JcYwlE
20312797620,2026-04-22,Belong,149661852,10,0.91,489 - Telephone & Internet,A Curious Tractor,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Belong - 2026-04-22 - 149661852.pdf,https://rbnk.me/i/B5TaXw4Ou58
20296838070,2026-04-14,DNP Australia,97608,4063.89,369.45,461 - Printing & Stationery,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/DNP Australia - 2026-04-14 - 97608.pdf,https://rbnk.me/i/yP8Rxwhc8TE
20295620510,2026-04-17,Vercel,6FDD0732-0008,50.23,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Vercel - 2026-04-17 - 6FDD0732-0008.pdf,https://rbnk.me/i/VbV0LdOdSuM
20295605600,2026-04-11,Avis,SI1030816,8.35,0.56,"452 - Parking, Tolls & Taxis",A Curious Tractor,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Avis - 2026-04-11 - SI1030816.pdf,https://rbnk.me/i/uSnGdI9JM5E
20275892140,2026-05-10,Notion Labs,Upcoming,73.66,0,485 - Subscriptions,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Notion Labs - 2026-05-10 - Upcoming.pdf,https://rbnk.me/i/jxbWXogpcqQ
20275892110,2026-05-10,Notion Labs,,73.66,0,485 - Subscriptions,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Notion Labs - 2026-05-10 - 20275892110.pdf,https://rbnk.me/i/YQp4FeROWeU
20248210930,2026-04-16,Woolworths,4604,18,1.64,493 - Travel - National,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Woolworths - 2026-04-16 - 4604.jpg,https://rbnk.me/i/UvQe050k7Kk
20247849280,2026-04-15,Bunnings Warehouse,,111.2,10.11,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-04-15 - 20247849280.pdf,https://rbnk.me/i/9-7HxONrkO4
20247679250,2026-04-16,The Bolt King,87653,127.6,11.6,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/The Bolt King - 2026-04-16 - 87653.jpg,https://rbnk.me/i/W7t7GAu_qBg
20247679230,2026-04-16,Bolt In Co Sunshine Coast,87653,127.6,11.6,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bolt In Co Sunshine Coast - 2026-04-16 - 87653.jpg,https://rbnk.me/i/EtzCmfK1psY
20247679210,2026-04-16,The Bolt King,,127.6,0,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/The Bolt King - 2026-04-16 - 20247679210.jpg,https://rbnk.me/i/d04ZHaBDX60
20247673190,2026-04-16,Coastal Fasteners,,130.94,11.9,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Coastal Fasteners - 2026-04-16 - 20247673190.jpg,https://rbnk.me/i/-jVzimGl3YI
20247673180,2026-04-16,Unknown Supplier,,130.94,11.9,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Unknown Supplier - 2026-04-16 - 20247673180.jpg,https://rbnk.me/i/rALzZ_cpzNU
20246819560,2026-04-15,Defy Manufacturing,INV-1758,5130.95,466.45,412 - Consulting & Accounting,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Defy Manufacturing - 2026-04-15 - INV-1758.pdf,https://rbnk.me/i/6EzQp-kUddY
20218260550,2026-04-12,Firecrawl,PTJQ79UH-0010,13.45,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Firecrawl - 2026-04-12 - PTJQ79UH-0010 (2).pdf,https://rbnk.me/i/QP-sDQ2yewM
20218260540,2026-04-12,Firecrawl,PTJQ79UH-0010,13.45,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Firecrawl - 2026-04-12 - PTJQ79UH-0010 (2).pdf,https://rbnk.me/i/jva-rL04-iw
20217133590,2026-03-28,Maleny Hardware And Rural Supplies,201900,224.1,20.37,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-03-28 - 201900.pdf,https://rbnk.me/i/pCPvfHhwvyU
20217130540,2026-04-13,Maleny Hardware And Rural Supplies,204644,278.3,25.3,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-04-13 - 204644.pdf,https://rbnk.me/i/DQdJ1OvsEt4
20196567510,2026-04-11,RACQ,24363-P-P4C8UGUG8RM5YT1G,310,28.18,450 - MV - Registration & Insurance,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/RACQ - 2026-04-11 - 24363-P-P4C8UGUG8RM5YT1G.pdf,https://rbnk.me/i/iRixb823vIk
20196557030,2026-04-07,Steelmart,SI-00023952/1,1453.1,132.1,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Steelmart - 2026-04-07 - SI-000239521.pdf,https://rbnk.me/i/swvxEvbM-gw
20196535700,2026-04-08,MALENY LANDSCAPING SUPPLIES,124411,653.4,59.4,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/MALENY LANDSCAPING SUPPLIES - 2026-04-08 - 124411.pdf,https://rbnk.me/i/y03vG1ozdKk
20193951660,2026-04-11,Dext Software,2203342,42,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Dext Software - 2026-04-11 - 2203342.pdf,https://rbnk.me/i/gLafwgXJJoE
20182003450,2026-04-09,Every Media,GCOQMFL1-0004,42.6,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Every Media - 2026-04-09 - GCOQMFL1-0004.pdf,https://rbnk.me/i/xgIoCyVYjZ0
20130846950,2026-04-05,HighLevel,AGAPY3VP-0010,36.21,0,485 - Subscriptions,A Curious Tractor,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/HighLevel - 2026-04-05 - AGAPY3VP-0010.pdf,https://rbnk.me/i/rY3CFVS6CgI
20105259250,2026-03-31,Centre Canvas And Upholstery,ADG 6524337,10285,0,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Centre Canvas And Upholstery - 2026-03-31 - ADG 6524337.pdf,https://rbnk.me/i/Rf-DD7KNTbs
20105145170,2026-03-31,Google Australia,5527551908,67.98,6.18,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Google Australia - 2026-03-31 - 5527551908.pdf,https://rbnk.me/i/-nmfkMl1LwE
20104596310,2026-04-02,The Townsville Store,86092,20.5,0,421 - Light meals &  refreshments,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/The Townsville Store - 2026-04-02 - 86092.pdf,https://rbnk.me/i/3LxmcA9cs40
20079689740,2026-03-27,Defy Manufacturing,INV-1732,18922.75,1720.25,412 - Consulting & Accounting,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Defy Manufacturing - 2026-03-27 - INV-1732.pdf,https://rbnk.me/i/yf151TtS0bQ
20079689690,2026-03-27,Defy Manufacturing,INV-1731,8525,775,412 - Consulting & Accounting,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Defy Manufacturing - 2026-03-27 - INV-1731.pdf,https://rbnk.me/i/NlasLiWhb5g
20076521830,2026-03-31,Defy,1248-9857,8686.98,0,400 - Advertising & Marketing,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Defy - 2026-03-31 - 1248-9857.pdf,https://rbnk.me/i/4HLsT1Gxaas
20076508940,2026-03-31,A Curious Tractor,,10000,0,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/A Curious Tractor - 2026-03-31 - 20076508940.pdf,https://rbnk.me/i/rtQTWCMpezA
20062389440,2026-03-29,Joseph Kirmos,INV-006,4500,0,486 - Sub-contractors,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Joseph Kirmos - 2026-03-29 - INV-006.pdf,https://rbnk.me/i/MMq63crkV4o
20058393440,2026-03-29,KIOSK,72107,128.08,13.99,493 - Travel - National,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/KIOSK - 2026-03-29 - 72107.jpg,https://rbnk.me/i/2_4_trZY1ws
20055062230,2026-03-27,greenmotion,RES-22480,685.26,123.57,"452 - Parking, Tolls & Taxis",,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/greenmotion - 2026-03-27 - RES-22480.pdf,https://rbnk.me/i/lPAFKc_V1mk
20053541250,2026-03-28,Pestworx Maleny,,165,0,593 - Rental - Pest Control (0%),,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Pestworx Maleny - 2026-03-28 - 20053541250.pdf,https://rbnk.me/i/5gUoqlafZoI
20053539640,2026-03-27,Bunnings Warehouse,007-70706-8176-2026-03-27,111.2,10.11,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bunnings Warehouse - 2026-03-27 - 007-70706-8176-2026-03-27.jpg,https://rbnk.me/i/w_S3JSVQL6Y
20053536690,2026-03-27,Bolt Co,87543,70.4,6.4,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Bolt Co - 2026-03-27 - 87543.jpg,https://rbnk.me/i/vm9OK_2OJeg
20034905370,2026-03-23,Railway Corporation,PADMUZCI-0010,7.17,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Railway Corporation - 2026-03-23 - PADMUZCI-0010.pdf,https://rbnk.me/i/mwDlyj4g-EM
20031797260,2026-03-26,Maleny Hardware And Rural Supplies,201316,113.4,10.31,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-03-26 - 201316.jpg,https://rbnk.me/i/LkfJ5LgR3SM
20031797250,2026-03-26,Maleny Hardware And Rural Supplies,,113.4,10.31,446 - Materials & Supplies,Farm Activities,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Maleny Hardware And Rural Supplies - 2026-03-26 - 20031797250.jpg,https://rbnk.me/i/XIw0-uRG46E
20030765150,2026-03-25,Sagittarius Doo,011351,498.92,0,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Sagittarius Doo - 2026-03-25 - 011351.jpg,https://rbnk.me/i/NI-8ZolXPpA
20030763510,2026-03-25,Sagittarius Doo,19010-610-26000651,420.76,39.93,493 - Travel - National,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Sagittarius Doo - 2026-03-25 - 19010-610-26000651.jpg,https://rbnk.me/i/KDszztW60A0
20025985830,2026-03-25,Canva,04831-8542989,17.99,1.64,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Canva - 2026-03-25 - 04831-8542989.pdf,https://rbnk.me/i/VC8x2UKagsw
20016450560,2026-03-24,BAUHAUS Ljubljana,0041,114.45,20.63,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/BAUHAUS Ljubljana - 2026-03-24 - 0041.jpg,https://rbnk.me/i/j9unKVihGLk
20015842300,2026-03-24,AL FRESCO,01-001-26001024,99.09,9.68,421 - Light meals &  refreshments,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/AL FRESCO - 2026-03-24 - 01-001-26001024.jpg,https://rbnk.me/i/xWHZLa4AtGQ
20012811660,2026-03-24,JASNA CHALET RESORT,6689,22.28,3.09,421 - Light meals &  refreshments,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/JASNA CHALET RESORT - 2026-03-24 - 6689.jpg,https://rbnk.me/i/9uYjysyXP9U
20005103240,2026-03-23,HighLevel,AGAPY3VP-0009,139.05,0,485 - Subscriptions,A Curious Tractor,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/HighLevel - 2026-03-23 - AGAPY3VP-0009.pdf,https://rbnk.me/i/uSsHUa_J-Bs
20003684570,2026-03-23,GUSTO PIZZERIA,,62.75,6.09,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/GUSTO PIZZERIA - 2026-03-23 - 20003684570.jpg,https://rbnk.me/i/pHNOzWK_tmY
19999869980,2026-03-23,Qantas,IE962978410,127.62,0,493 - Travel - National,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Qantas - 2026-03-23 - IE962978410.pdf,https://rbnk.me/i/yaGlg1vuP7k
19996571610,2026-03-23,BOB BROWN FOUNDATION,242106,600,0,,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/BOB BROWN FOUNDATION - 2026-03-23 - 242106.pdf,https://rbnk.me/i/mYsduks_YHc
19992992790,2026-03-23,Holafly,E21434621,145.53,0,489 - Telephone & Internet,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Holafly - 2026-03-23 - E21434621.pdf,https://rbnk.me/i/_Vi_qz8byRU
19988924730,2026-03-22,Holafly,E21404775,102.05,0,489 - Telephone & Internet,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Holafly - 2026-03-22 - E21404775.pdf,https://rbnk.me/i/tUK7z2yW-sQ
19987762250,2026-03-21,Vercel,6FDD0732-0007,21.29,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Vercel - 2026-03-21 - 6FDD0732-0007.pdf,https://rbnk.me/i/cbGzlXNFBBc
19987762170,2026-03-21,Supabase,WSHNYD-00020,87.25,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Supabase - 2026-03-21 - WSHNYD-00020 (2).pdf,https://rbnk.me/i/jL_jO_QxjSk
19987762160,2026-03-21,Supabase,WSHNYD-00020,87.25,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Supabase - 2026-03-21 - WSHNYD-00020 (2).pdf,https://rbnk.me/i/QtF0oCYATYE
19976370100,2026-03-20,Imprint5,112207635,3715.73,0,446 - Materials & Supplies,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Imprint5 - 2026-03-20 - 112207635.pdf,https://rbnk.me/i/F_2g9riEr4c
19976171090,2026-03-16,Vercel,6FDD0732-0005,31.38,0,485 - Subscriptions,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Vercel - 2026-03-16 - 6FDD0732-0005.pdf,https://rbnk.me/i/KlxJafwO0I0
19975669360,2026-03-17,Sophie Deirdre Hickey,000111,1140,0,486 - Sub-contractors,,processed,yes,/Users/benknight/Code/act-global-infrastructure/Dext/nicholas-marchesi-2026-05-15/Sophie Deirdre Hickey - 2026-03-17 - 000111.pdf,https://rbnk.me/i/v6yYmfpEQbQ
