company_name,email,state,country,type,community,suggested_tags,source,original_contact_id,notes
"Manyallaluk Store Aboriginal Corporation",manyallaluk-store-aboriginal-corporation-manyallaluk@goods.civicgraph.io,NT,Australia,Community Store,manyallaluk,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,3Ot8tdFR2Xlb8KkOgNWO,
"Milingimbi and Outstations Progress Resources Aboriginal Corporation",milingimbi-and-outstations-progress-resources-aboriginal-cor-mil@goods.civicgraph.io,NT,Australia,Community Store,milingimbi,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,lj1HY0GS0vaHQYvXtAiS,
"Mt Liebig Community Store Aboriginal Corporation",mt-liebig-community-store-aboriginal-corporation-mount-liebig@goods.civicgraph.io,NT,Australia,Community Store,mount-liebig,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,HAN2VLPXisHJErXrXkhy,POSSIBLE DUP of "Amundurrngu Mt Liebig Community Store" above — verify
"Ngukurr Progress Aboriginal Corporation",ngukurr-progress-aboriginal-corporation-ngukurr@goods.civicgraph.io,NT,Australia,Community Store,ngukurr,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,RCmAdzqPUceLaiQwkliv,
"Nturiya Community Store Aboriginal Corporation",nturiya-community-store-aboriginal-corporation-nturiya@goods.civicgraph.io,NT,Australia,Community Store,nturiya,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,1dUSJ8bwFl32u1UrZ0cu,
"Papunya Community Store Aboriginal Corporation",papunya-community-store-aboriginal-corporation-papunya@goods.civicgraph.io,NT,Australia,Community Store,papunya,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,agnn4YZ9Iwixiwco0f83,
"Peppimenarti Health Services Aboriginal Corporation",peppimenarti-health-services-aboriginal-corporation-peppimenarti@goods.civicgraph.io,NT,Australia,Health Service,peppimenarti,project:act-gd;role:community-controlled;role:partner;role:health-service,community-controlled-org-migration-2026-06-09,Ud33HAOZRSOg5kfV4FTy,
"Peppimenarti Store Indigenous Corporation",peppimenarti-store-indigenous-corporation-peppimenarti@goods.civicgraph.io,NT,Australia,Community Store,peppimenarti,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,L0N5scaDjkWALI88SFGR,
"Tangentyere Council Aboriginal Corporation",,NT,Australia,Council,,project:act-gd;role:community-controlled;role:partner;role:council,community-controlled-org-migration-2026-06-09,BjPQ4FwKI6yXf9DqHFEG,
"The Arnhem Land Progress Aboriginal Corporation (ALPA)",,NT,Australia,Community Store (retailer),,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,64FUSK218liWpGTi9Z2u,
"Titjikala Community Store Aboriginal Corporation",titjikala-community-store-aboriginal-corporation-titjikala@goods.civicgraph.io,NT,Australia,Community Store,titjikala,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,QYFJPrbiYcK0R7wPzCxZ,
"Tiwi Land Council",,NT,Australia,Land Council,,project:act-gd;role:community-controlled;role:partner;role:land-council,community-controlled-org-migration-2026-06-09,6jEeR6lbputXOxp4ZZqf,
"Wallace Rockhole Community Store Aboriginal Corporation",wallace-rockhole-community-store-aboriginal-corporation-wallace@goods.civicgraph.io,NT,Australia,Community Store,wallace-rockhole,project:act-gd;role:community-controlled;role:partner;role:buyer;role:supplier,community-controlled-org-migration-2026-06-09,8gOgn0mjerwpKYSZvkVH,
"Miwatj Health Aboriginal Corporation",,NT,Australia,Health Service,,project:act-gd;role:community-controlled;role:partner;role:health-service,person-org (madelyn hay),,NEW company — no org-record existed; associate madelyn hay
"Northern Land Council",northern-land-council-gapuwiyak@goods.civicgraph.io,NT,Australia,Land Council,gapuwiyak,project:act-gd;role:community-controlled;role:partner;role:land-council,person-org (matthew ryan),,NEW company — no org-record existed; associate matthew ryan
"Anyinginyi Health Aboriginal Corporation",,NT,Australia,Health Service,tennant-creek,project:act-gd;role:community-controlled;role:partner;role:health-service,person-org (tony miles),,NEW company — no org-record existed; associate tony miles
"WHSAC (Groote Archipelago)",,NT,Australia,Aboriginal Corporation,groote-eylandt,project:act-gd;role:community-controlled;role:partner,person-org (simone grimmond),,NEW company — VERIFY full name/type; associate simone grimmond
"NPY Women's Council",,NT/SA/WA,Australia,Women's Council / Service,,project:act-gd;role:community-controlled;role:partner,person-org (angela lynch),,NEW company — tri-state (NT/SA/WA); associate angela lynch
