quarter,id,date,payee,particulars,amount,xero_status,evidence_status
Q3,f2cb8c05-33fd-436e-95b2-93db82cb0638,2026-02-25,SPOTLIGHT MITTAGONG MITTAGONGNSW,SPOTLIGHT MITTAGONG MITTAGONGNSW,199.6,unreconciled,uncovered
Q3,7ed6d38c-e48b-40e8-bb37-143104fd10c1,2026-03-10,SANKALP ANNERLEY,SANKALP ANNERLEY,186.75,unreconciled,uncovered
Q3,364e6ca4-df36-47b0-bdfa-095ca43008ad,2026-02-03,ERLDUNDA DESERT OAKS ERLDUNDA,ERLDUNDA DESERT OAKS ERLDUNDA,180.76,unreconciled,uncovered
Q3,49635952-0905-495c-b2f4-49e2cce02821,2026-03-25,TRIPLE BULL CRONULLA,TRIPLE BULL CRONULLA,153,unreconciled,uncovered
Q3,867d2b1b-35e0-49b7-9859-a2c5db2139fc,2026-02-23,STACKS OF WAX PTY LT NEWTOWN,STACKS OF WAX PTY LT NEWTOWN,150,unreconciled,uncovered
Q3,1f8346d2-8333-43d9-b49f-7d2ea8f17dbf,2026-03-02,MALENYVIBESPILATES.COM GOLDEN BEACH,MALENYVIBESPILATES.COM GOLDEN BEACH,150,unreconciled,uncovered
Q3,90c7d352-6355-4b7c-a047-82f49eca80f5,2026-03-06,WITTA RRC BEERWAH,WITTA RRC BEERWAH,148,unreconciled,uncovered
Q3,57f7dc93-b0a4-40aa-9b8f-8360bf36db82,2026-02-09,FOUNDERPASS.COM ESSEX,FOUNDERPASS.COM ESSEX,143.58,unreconciled,uncovered
Q3,458c877a-b656-4b43-8ef1-a245011789e0,2026-03-04,BALLINA TRAVEL CTR 9072 BALLINA,BALLINA TRAVEL CTR 9072 BALLINA,133.63,unreconciled,uncovered
Q3,24224e9c-02ac-492f-ae1e-8bb924372214,2026-03-30,KIOSK BUDAPEST BUDAPEST,KIOSK BUDAPEST BUDAPEST,129.78,unreconciled,uncovered
Q3,16dd1a76-e55b-401b-a56f-a9aecb656f82,2026-02-23,BUNDANON ILLAROO,BUNDANON ILLAROO,120,unreconciled,uncovered
Q3,3fb6e318-002a-4104-a008-2b7e9c7fb7c4,2026-02-03,Hanuman Restaurant Ali Alice Springs,Hanuman Restaurant Ali Alice Springs,118.36,unreconciled,uncovered
Q3,becf6f9f-7374-4c82-809b-ddacc8efb0ce,2026-02-13,WWW.VEVOR.COM.AU MELBOURNE,WWW.VEVOR.COM.AU MELBOURNE,115.99,unreconciled,uncovered
Q3,27826742-81c4-4181-9fd8-a09bbf7ee555,2026-03-30,7 ELEVEN 4223 LITTLE MOUNTA,7 ELEVEN 4223 LITTLE MOUNTA,103.64,unreconciled,uncovered
Q3,5c8ab81f-8cdc-4dd0-b33b-33c494d42202,2026-02-04,DISCOVERY RESORTS-KING PETERMANN,DISCOVERY RESORTS-KING PETERMANN,103.59,unreconciled,uncovered
Q2,b2f8191d-6e96-4568-8bc3-ed2a32f4648c,2025-11-18,TICKETS*FARM MY SC 0404900312,TICKETS*FARM MY SC 0404900312,103,unreconciled,uncovered
Q3,5603e193-50ad-43c2-94ca-a54b5d001c36,2026-03-25,Restavracija Al Fresco Bled,Restavracija Al Fresco Bled,99.08,unreconciled,uncovered
Q3,0deace90-07f8-4ecb-84cc-ac2b5fe370d1,2026-01-14,3DEXPERIENCE DASSAULT MELBOURNE,3DEXPERIENCE DASSAULT MELBOURNE,92.4,unreconciled,uncovered
Q3,5ce49430-a9c0-43b9-a687-1fa0cebd5a40,2026-03-09,SUPER CHEAP AUTO ACACIA RIDGE,SUPER CHEAP AUTO ACACIA RIDGE,90.45,unreconciled,uncovered
Q3,3bf348d9-4060-4700-ba73-7b8a886d237f,2026-02-16,HARRIS FARM MARKETS PT WEST END,HARRIS FARM MARKETS PT WEST END,89.46,unreconciled,uncovered
